"min_lengths","max_lengths","Model","R2_mult","R2_adj"
5,8,"Simple",0.0861837332534866,0.042668672932224
6,8,"Full",0.303645836380367,0.193695178966741
7,8,"Full",0.332397179960846,0.226986208375717
5,9,"Full",0.390128428661556,0.293832917397591
6,9,"Full",0.383436042688083,0.286083838901991
7,9,"Full",0.392933056207974,0.29708038087239
8,9,"Full",0.388504514360763,0.291952595575621
5,10,"Full",0.411122824526057,0.318142217872276
6,10,"Full",0.412891362112428,0.320189998235443
7,10,"Full",0.420112769264822,0.328551627569794
8,10,"Full",0.420112769264822,0.328551627569794
9,10,"Full",0.408655775904627,0.315285635257989
5,11,"Full",0.412224286641657,0.31941759505876
6,11,"Full",0.414478460746409,0.322027691390579
7,11,"Full",0.422151577953987,0.330912353420406
8,11,"Full",0.422151577953987,0.330912353420406
9,11,"Full",0.410942055968586,0.317932906910994
10,11,"Full",0.420481652593775,0.328978755634897
5,12,"Full",0.436891254030038,0.347979346771623
6,12,"Full",0.426288126113452,0.335702040762944
7,12,"Full",0.434411161329645,0.345107660486958
8,12,"Full",0.434411161329645,0.345107660486958
9,12,"Full",0.423061620015437,0.331966086333664
10,12,"Full",0.441653102637748,0.353493066212129
11,12,"Full",0.427272081531244,0.336841357562493
5,13,"Full",0.407075277204374,0.31345558413138
6,13,"Full",0.396309286410829,0.300989700054645
7,13,"Full",0.404650567932806,0.310648026027459
8,13,"Full",0.404650567932806,0.310648026027459
9,13,"Full",0.393779425801621,0.298060387770298
10,13,"Full",0.410773504137228,0.31773774163258
11,13,"Full",0.385837239725168,0.288864172313352
12,13,"Full",0.321835364191878,0.214756737485332
5,14,"Full",0.375432880576389,0.276817019614767
6,14,"Full",0.364716207677169,0.264408240468301
7,14,"Full",0.37231453680927,0.273206305779155
8,14,"Full",0.37231453680927,0.273206305779155
9,14,"Full",0.362171104425434,0.261461278808397
10,14,"Full",0.379174615482138,0.281149554768791
11,14,"Full",0.377545867036338,0.27926363551576
12,14,"Full",0.381289298794352,0.283598135446092
13,14,"Full",0.385321556815613,0.288267065786499
5,15,"Full",0.359353760489552,0.258199091093166
6,15,"Full",0.348272357091438,0.245367992421665
7,15,"Full",0.356181011592619,0.254525381844085
8,15,"Full",0.356181011592619,0.254525381844085
9,15,"Full",0.367874239595808,0.268064909005673
10,15,"Full",0.382234218901041,0.284692253464363
11,15,"Full",0.364830730148372,0.264540845434957
12,15,"Full",0.365763642085854,0.265621059257305
13,15,"Full",0.36878681057568,0.269121570140261
14,15,"Full",0.331754913532211,0.226242531458349
5,16,"Full",0.386721502807395,0.289888055882247
6,16,"Full",0.373758270314264,0.27487799720599
7,16,"Full",0.38362405749028,0.286301540251903
8,16,"Full",0.38362405749028,0.286301540251903
9,16,"Full",0.365561171892812,0.265386620086413
10,16,"Full",0.37884756050062,0.280770859527033
11,16,"Full",0.363133933778717,0.262576133849041
12,16,"Full",0.380202265080301,0.282339464829822
13,16,"Full",0.360151801204949,0.25912313823731
14,16,"Full",0.348982568889885,0.24619034292513
5,17,"Full",0.286938873983143,0.174350275138376
6,17,"Simple",0.0721072147447092,0.0279218440182668
7,17,"Simple",0.0764171323744547,0.0324369958208572
8,17,"Simple",0.0764171323744547,0.0324369958208572
9,17,"Simple",0.0718561398659152,0.0276588131928636
10,17,"Simple",0.0720051988679694,0.0278149702426346
11,17,"Simple",0.0651533636925667,0.0206368572017366
12,17,"Simple",0.0612713400712662,0.0165699753127551
13,17,"Simple",0.0633092140447766,0.0187048909040517
14,17,"Simple",0.0465020571151785,0.00109739316828217
5,18,"Simple",0.0758040252528647,0.0317946931220486
6,18,"Simple",0.0772342738573091,0.0332930488028952
7,18,"Simple",0.081901936873024,0.0381829814860252
8,18,"Simple",0.081901936873024,0.0381829814860252
9,18,"Simple",0.0773438444853697,0.033407837079911
10,18,"Simple",0.0777692370508368,0.0338534864342098
11,18,"Simple",0.0750511633131739,0.0310059806138012
12,18,"Full",0.288367490975165,0.176004463234401
13,18,"Simple",0.0772056944231503,0.0332631084433003
14,18,"Simple",0.0589417020889367,0.0141294021884099
5,19,"Full",0.294575222404922,0.183192362784646
6,19,"Simple",0.0814720773740754,0.0377326524871266
7,19,"Simple",0.0864293822646788,0.0429260195153779
8,19,"Simple",0.0864293822646788,0.0429260195153779
9,19,"Simple",0.0819485247976425,0.0382317878832446
10,19,"Full",0.29427776491489,0.182847938322505
11,19,"Full",0.292052218056954,0.180270989329104
12,19,"Full",0.309869469714934,0.200901491248871
13,19,"Full",0.298605319843859,0.187858791398152
14,19,"Full",0.280235980226902,0.166589029736413
